,wav_file,path,source,text,segment_id
18,N2_030220_NRK_HON_NO_552.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_030220_NRK_HON_NO_552.wav,Rundkast,bush  kva syns du om han ,Rundkast_N2_030220_NRK_HON_NO_552
19,20180502-7_209.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180502-7_209.wav,Stortinget,god dialog mellom både departementet,Stortinget_20180502-7_209
20,06012018_141.wav,../../datasets/NordTrans_TUL/train_small/NRK/06012018_141.wav,NRK,weng vinner østberg inntil fem plass,NRK_06012018_141
21,N2_050108_NRK_VPL_NO_177.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050108_NRK_VPL_NO_177.wav,Rundkast,kommer for å hjelpe sine ulykkelige landsmenn,Rundkast_N2_050108_NRK_VPL_NO_177
22,N2_030220_NRK_HON_NO_549.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_030220_NRK_HON_NO_549.wav,Rundkast, nei  er stort ,Rundkast_N2_030220_NRK_HON_NO_549
23,112017_007.wav,../../datasets/NordTrans_TUL/train_small/NRK/112017_007.wav,NRK,den sparkede visepresidenten er på vei hjem ,NRK_112017_007
24,20180508-2_167.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180508-2_167.wav,Stortinget,norge og man betegner det som å,Stortinget_20180508-2_167
25,20180131c-3_196.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131c-3_196.wav,Stortinget,det bruker man ,Stortinget_20180131c-3_196
26,07182017_057.wav,../../datasets/NordTrans_TUL/train_small/NRK/07182017_057.wav,NRK,det gikk ikke,NRK_07182017_057
27,20180426-4_210.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180426-4_210.wav,Stortinget,finne løsninger på dette er viktig,Stortinget_20180426-4_210
28,N2_060524_NRK_HON_NO_322.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060524_NRK_HON_NO_322.wav,Rundkast,på en økonomisk ramme på oppgjøret så vil den,Rundkast_N2_060524_NRK_HON_NO_322
29,20180131c-2_076.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131c-2_076.wav,Stortinget,helt ny måte å organisere velferden på,Stortinget_20180131c-2_076
30,N2_060527_NRK_VPL_NO_622.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060527_NRK_VPL_NO_622.wav,Rundkast, nå driver hundre _chadere fra hjemmene sine hver dag ,Rundkast_N2_060527_NRK_VPL_NO_622
31,20180509-2_192.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180509-2_192.wav,Stortinget,hun kommer fra ,Stortinget_20180509-2_192
32,20180131a-1_040.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131a-1_040.wav,Stortinget,at vi har fått en regjering uten referanse til vår nasjonale kulturarv,Stortinget_20180131a-1_040
33,N2_030911_NRK_SDA_NO_653.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_030911_NRK_SDA_NO_653.wav,Rundkast, og mitt parti har ikke utlukket at vi bliver medlem ,Rundkast_N2_030911_NRK_SDA_NO_653
34,12152017_082.wav,../../datasets/NordTrans_TUL/train_small/NRK/12152017_082.wav,NRK,men det er krevende å få fotomodellen til å posere,NRK_12152017_082
35,20180131b-1_009.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131b-1_009.wav,Stortinget,det uorganiserte arbeidslivet både i sin plattform og i sine budsjetter ,Stortinget_20180131b-1_009
36,08122017_056.wav,../../datasets/NordTrans_TUL/train_small/NRK/08122017_056.wav,NRK,vår korrespondent tok seg inn i et av opposisjonens kjerneområder i dag,NRK_08122017_056
37,20180426-2_141.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180426-2_141.wav,Stortinget,besøkene i den fremmede moskeen i kirken og hos jødiske venner var frivillige og,Stortinget_20180426-2_141
38,N2_060527_NRK_VPL_NO_15.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060527_NRK_VPL_NO_15.wav,Rundkast, ja  på den indonesiske øyen java ser dødstallene nå til å ,Rundkast_N2_060527_NRK_VPL_NO_15
39,12042018_097.wav,../../datasets/NordTrans_TUL/train_small/NRK/12042018_097.wav,NRK,som ble utryddet under andre verdenskrig ,NRK_12042018_097
40,121717_026.wav,../../datasets/NordTrans_TUL/train_small/NRK/121717_026.wav,NRK,det er sidestilt med dette ,NRK_121717_026
41,20180131a-1_197.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131a-1_197.wav,Stortinget,den meldingen vi fikk på tampen av forrige periode overlater også veldig mye til debatter her i stortinget men det ansvaret har vi klart,Stortinget_20180131a-1_197
42,20180410-3_267.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180410-3_267.wav,Stortinget,og driftes i norge ,Stortinget_20180410-3_267
43,20180131b-3_103.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131b-3_103.wav,Stortinget,dårlig folkeskikk når voksne mobber barn og jeg mener at det er helt uakseptabelt at voksne i skolen mobber barn,Stortinget_20180131b-3_103
44,122917_016.wav,../../datasets/NordTrans_TUL/train_small/NRK/122917_016.wav,NRK,ikke har gjort noe ulovlig ,NRK_122917_016
45,010517_063.wav,../../datasets/NordTrans_TUL/train_small/NRK/010517_063.wav,NRK,så er det skal være fare for skade,NRK_010517_063
46,N2_050502_NRK_D17_NO_594.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050502_NRK_D17_NO_594.wav,Rundkast, det klavenesrederiet som eig dette skipet ,Rundkast_N2_050502_NRK_D17_NO_594
47,N2_060331_NRK_HON_NO_868.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060331_NRK_HON_NO_868.wav,Rundkast,holder på altså,Rundkast_N2_060331_NRK_HON_NO_868
48,11212017_175.wav,../../datasets/NordTrans_TUL/train_small/NRK/11212017_175.wav,NRK,unge kjempegode løpere ,NRK_11212017_175
49,12112017_008.wav,../../datasets/NordTrans_TUL/train_small/NRK/12112017_008.wav,NRK,er det handler om et verdivalg mener det,NRK_12112017_008
50,08042018_129.wav,../../datasets/NordTrans_TUL/train_small/NRK/08042018_129.wav,NRK,det seks timer lange skiftet har nettopp,NRK_08042018_129
51,09012018_059.wav,../../datasets/NordTrans_TUL/train_small/NRK/09012018_059.wav,NRK,til øverste nivå ,NRK_09012018_059
52,20180426-1_073.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180426-1_073.wav,Stortinget,ulovlig kapitalflyt settes høyt på dagsorden og verdiskapingen må øke,Stortinget_20180426-1_073
53,20180131a-9_060.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131a-9_060.wav,Stortinget,det bidrar til en større usikkerhet i norden og hos våre naboer rundt østersjøen,Stortinget_20180131a-9_060
54,20180410-2_001.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180410-2_001.wav,Stortinget,reist i finnmark ,Stortinget_20180410-2_001
55,N2_030515_NRK_HON_NO_503.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_030515_NRK_HON_NO_503.wav,Rundkast,ikk er ikke så opptatt av et stramt opplegg ,Rundkast_N2_030515_NRK_HON_NO_503
56,27012018_035.wav,../../datasets/NordTrans_TUL/train_small/NRK/27012018_035.wav,NRK,hun holdt seg mest inne og slet med å gå trapper,NRK_27012018_035
57,20180508-8_132.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180508-8_132.wav,Stortinget,for å hindre ytterligere spredning av atomvåpen og vi skal arbeide langsiktig for et forbud,Stortinget_20180508-8_132
58,09212017_007.wav,../../datasets/NordTrans_TUL/train_small/NRK/09212017_007.wav,NRK,arbeids og sosialfraksjonen ,NRK_09212017_007
59,N2_030510_NRK_VPL_NO_758.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_030510_NRK_VPL_NO_758.wav,Rundkast,jeg tok båten ut til robben island dagen etter at walter sisulu døde jeg ville stå ved hans celle sammen med en venn en av walters medfanger,Rundkast_N2_030510_NRK_VPL_NO_758
60,N2_950708_NRK_VPL_NO_681.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_950708_NRK_VPL_NO_681.wav,Rundkast,smakte vi nittifem årgangen,Rundkast_N2_950708_NRK_VPL_NO_681
61,20180509-4_035.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180509-4_035.wav,Stortinget,våre rettslige rammer ,Stortinget_20180509-4_035
62,11022017_087.wav,../../datasets/NordTrans_TUL/train_small/NRK/11022017_087.wav,NRK,det er tilfeldig kor god hjelp,NRK_11022017_087
63,N2_060401_NRK_VPL_NO_151.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060401_NRK_VPL_NO_151.wav,Rundkast,som har holdt berlusconi's forza italia ,Rundkast_N2_060401_NRK_VPL_NO_151
64,N2_030714_NRK_HON_NO_490.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_030714_NRK_HON_NO_490.wav,Rundkast, og og og prøvde da å sette fyr på den uten at han lyktes med det ,Rundkast_N2_030714_NRK_HON_NO_490
65,20180508-2_115.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180508-2_115.wav,Stortinget,og ikke er ,Stortinget_20180508-2_115
66,N2_030506_NRK_D12_NO_198.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_030506_NRK_D12_NO_198.wav,Rundkast,det er et budsjett som er full av høyrepolitikk og fremskrittspartipolitikk ,Rundkast_N2_030506_NRK_D12_NO_198
67,17032018_009.wav,../../datasets/NordTrans_TUL/train_small/NRK/17032018_009.wav,NRK,dersom hun flyttes til et nytt departement ,NRK_17032018_009
68,N2_060510_NRK_D18_NO_846.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060510_NRK_D18_NO_846.wav,Rundkast,de store millionbyene i nord områdene industribyene langs volga og sibir ,Rundkast_N2_060510_NRK_D18_NO_846
69,031314_025.wav,../../datasets/NordTrans_TUL/train_small/NRK/031314_025.wav,NRK,kvinner i norge kjempet for ,NRK_031314_025
70,20180117-1_255.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180117-1_255.wav,Stortinget,kan være usosial ,Stortinget_20180117-1_255
71,11152017_008.wav,../../datasets/NordTrans_TUL/train_small/NRK/11152017_008.wav,NRK,venstre reagerer kraftig ,NRK_11152017_008
72,N2_060513_NRK_VPL_NO_121.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060513_NRK_VPL_NO_121.wav,Rundkast,men når kan da en f n styrke være på ,Rundkast_N2_060513_NRK_VPL_NO_121
73,20180502-6_224.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180502-6_224.wav,Stortinget,krevende prosess å gjennomføre ,Stortinget_20180502-6_224
74,20180502-6_151.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180502-6_151.wav,Stortinget,eget liv så jeg er åpen for også å vurdere nye tiltak men de forslagene arbeiderpartiet har,Stortinget_20180502-6_151
75,09032018_000.wav,../../datasets/NordTrans_TUL/train_small/NRK/09032018_000.wav,NRK,hun har hørt stemmer i hodet,NRK_09032018_000
76,N2_060524_NRK_HON_NO_286.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060524_NRK_HON_NO_286.wav,Rundkast,på mange måter spriker veldig sterkt,Rundkast_N2_060524_NRK_HON_NO_286
77,N2_060527_NRK_VPL_NO_951.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060527_NRK_VPL_NO_951.wav,Rundkast, at han forleden heiste det hvite flagget,Rundkast_N2_060527_NRK_VPL_NO_951
78,N2_030822_NRK_HON_NO_101.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_030822_NRK_HON_NO_101.wav,Rundkast, nei det har jeg ingen grunn til å å si eller tro ,Rundkast_N2_030822_NRK_HON_NO_101
79,20180410-3_161.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180410-3_161.wav,Stortinget,og på tvers av landegrenser ,Stortinget_20180410-3_161
80,20180117-2_244.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180117-2_244.wav,Stortinget,merverdiavgiftsregelverket gjelder likt for både norske og utenlandske transportører ,Stortinget_20180117-2_244
81,N2_050224_NRK_HON_NO_495.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050224_NRK_HON_NO_495.wav,Rundkast, men pressekonferansen ble avlyst og det store presseoppbute ,Rundkast_N2_050224_NRK_HON_NO_495
82,N2_060527_NRK_VPL_NO_260.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060527_NRK_VPL_NO_260.wav,Rundkast,men årsaken er tragisk ,Rundkast_N2_060527_NRK_VPL_NO_260
83,06012018_056.wav,../../datasets/NordTrans_TUL/train_small/NRK/06012018_056.wav,NRK,stormberg har nå doblet støtten til naturvernorganisasjonen ,NRK_06012018_056
84,N2_050226_NRK_UKS_NO_953.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050226_NRK_UKS_NO_953.wav,Rundkast,på den måten  kan han komme så nær henne som mulig ,Rundkast_N2_050226_NRK_UKS_NO_953
85,N2_050606_NRK_D17_NO_297.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050606_NRK_D17_NO_297.wav,Rundkast,kan du si litt om arbeidet som har vært før dette besøket ,Rundkast_N2_050606_NRK_D17_NO_297
86,20180426-4_100.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180426-4_100.wav,Stortinget,i meråker kolliderer to busser ,Stortinget_20180426-4_100
87,N2_050217_NRK_D18_NO_181.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050217_NRK_D18_NO_181.wav,Rundkast, det er et det er et ytringsfrihetsspørsmål her som er,Rundkast_N2_050217_NRK_D18_NO_181
88,20180508-3_113.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180508-3_113.wav,Stortinget,som forsikrer nasjonen om at ingen arveberettiget prins eller prinsesse skal kunne gifte seg uten statssjefens tillatelse,Stortinget_20180508-3_113
89,20180424-1_085.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180424-1_085.wav,Stortinget,som ikke fungerer ,Stortinget_20180424-1_085
90,N2_031209_NRK_HON_NO_516.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_031209_NRK_HON_NO_516.wav,Rundkast, tvilsomt mener ellingsen,Rundkast_N2_031209_NRK_HON_NO_516
91,08012017_086.wav,../../datasets/NordTrans_TUL/train_small/NRK/08012017_086.wav,NRK,i redningselskapets småbåtregister har andelen båter med motorer på femti hestekrefter eller mer økt fra førtiseks,NRK_08012017_086
92,123017_035.wav,../../datasets/NordTrans_TUL/train_small/NRK/123017_035.wav,NRK,en mer gjennomgående vurdering ,NRK_123017_035
93,25032018_065.wav,../../datasets/NordTrans_TUL/train_small/NRK/25032018_065.wav,NRK,en ung mann i store smerter,NRK_25032018_065
94,20180410-3_108.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180410-3_108.wav,Stortinget,trygge og stabile leveranser ,Stortinget_20180410-3_108
95,N2_060510_NRK_D18_NO_628.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060510_NRK_D18_NO_628.wav,Rundkast,av for eksempel at prisen på en råvare de er veldig avhengig av faller drastisk ,Rundkast_N2_060510_NRK_D18_NO_628
96,N2_051203_NRK_UKS_NO_433.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_051203_NRK_UKS_NO_433.wav,Rundkast,på båt sjøl og vore heldig og vorte berga ,Rundkast_N2_051203_NRK_UKS_NO_433
97,10042017_222.wav,../../datasets/NordTrans_TUL/train_small/NRK/10042017_222.wav,NRK,alle skal ha den beste juridiske bistand også de verste skurkene,NRK_10042017_222
98,20180131b-7_206.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131b-7_206.wav,Stortinget,i ås i akershus ,Stortinget_20180131b-7_206
99,20180131c-2_086.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131c-2_086.wav,Stortinget,vi må øke fagforeningsgraden ,Stortinget_20180131c-2_086
100,20180509-5_174.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180509-5_174.wav,Stortinget,stevner nå oljeselskaper bl a barns,Stortinget_20180509-5_174
101,112917_030.wav,../../datasets/NordTrans_TUL/train_small/NRK/112917_030.wav,NRK,men døde kort tid etter ,NRK_112917_030
102,N2_060331_NRK_HON_NO_276.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060331_NRK_HON_NO_276.wav,Rundkast,all verden av tid men at der er gjort en jobb i mellomtida ,Rundkast_N2_060331_NRK_HON_NO_276
103,103017_023.wav,../../datasets/NordTrans_TUL/train_small/NRK/103017_023.wav,NRK,slik at vi tar høyde for elevenes,NRK_103017_023
104,N2_060419_NRK_D18_NO_512.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060419_NRK_D18_NO_512.wav,Rundkast, og øyvind stene hva er det som får deg til å ville lede en organisasjon med så mye bråk,Rundkast_N2_060419_NRK_D18_NO_512
105,120517_021.wav,../../datasets/NordTrans_TUL/train_small/NRK/120517_021.wav,NRK,troverdighet og tillit ,NRK_120517_021
106,09072017_042.wav,../../datasets/NordTrans_TUL/train_small/NRK/09072017_042.wav,NRK,antigua og barbuda er spesielt hardt rammet ,NRK_09072017_042
107,N2_010510_NRK_HON_NO_503.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_010510_NRK_HON_NO_503.wav,Rundkast,mellom gartland og høylandet etter et ras ved bruntjønna,Rundkast_N2_010510_NRK_HON_NO_503
108,N2_031209_NRK_HON_NO_138.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_031209_NRK_HON_NO_138.wav,Rundkast, følger opp oss,Rundkast_N2_031209_NRK_HON_NO_138
109,N2_060429_NRK_VPL_NO_192.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060429_NRK_VPL_NO_192.wav,Rundkast, veldig skremmende godt væpnet jeg tror det er en av de tingene som er mest påfallende med dem ,Rundkast_N2_060429_NRK_VPL_NO_192
110,N2_060217_NRK_D17_NO_508.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060217_NRK_D17_NO_508.wav,Rundkast,for konsultasjoner  som det heter  ,Rundkast_N2_060217_NRK_D17_NO_508
111,N2_950722_NRK_VPL_NO_272.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_950722_NRK_VPL_NO_272.wav,Rundkast,hva er det som er nytt ,Rundkast_N2_950722_NRK_VPL_NO_272
112,20180131b-8_166.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131b-8_166.wav,Stortinget,utfordringen for arbeidsmarkedet ,Stortinget_20180131b-8_166
113,042116_002.wav,../../datasets/NordTrans_TUL/train_small/NRK/042116_002.wav,NRK,reine partsinnlegg fra en rumenskamerikansk,NRK_042116_002
114,N2_050918_NRK_SDA_NO_423.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050918_NRK_SDA_NO_423.wav,Rundkast,på at det nå vil gå mot en en,Rundkast_N2_050918_NRK_SDA_NO_423
115,20180131a-2_011.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131a-2_011.wav,Stortinget,langtidsplan for forsvaret ,Stortinget_20180131a-2_011
116,20180508-8_131.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180508-8_131.wav,Stortinget,på kort sikt skal vi arbeide aktivt internasjonalt ,Stortinget_20180508-8_131
117,N2_051016_NRK_SDA_NO_234.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_051016_NRK_SDA_NO_234.wav,Rundkast, ja  det er det ,Rundkast_N2_051016_NRK_SDA_NO_234
118,12202017_070.wav,../../datasets/NordTrans_TUL/train_small/NRK/12202017_070.wav,NRK,politidirektoratet er fornøyd når studenter stoppes før de kommer inn i politiet i helgen fortalte nrk at bedrifter ofte ikke anmelder utro tjenere ,NRK_12202017_070
119,08292017_111.wav,../../datasets/NordTrans_TUL/train_small/NRK/08292017_111.wav,NRK,det som er igjen av verdi skal opp i høyden ,NRK_08292017_111
120,20180508-3_233.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180508-3_233.wav,Stortinget,tid til å områ seg før overtakinga,Stortinget_20180508-3_233
121,20180131a-8_105.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131a-8_105.wav,Stortinget,å jobbe for et bærekraftig velferdssamfunn,Stortinget_20180131a-8_105
122,12312017_096.wav,../../datasets/NordTrans_TUL/train_small/NRK/12312017_096.wav,NRK,og gikk seg opp til,NRK_12312017_096
123,20180321-3_330.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180321-3_330.wav,Stortinget,med et lovendringsforslag som innebærer at det for framtida,Stortinget_20180321-3_330
124,N2_050226_NRK_UKS_NO_578.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050226_NRK_UKS_NO_578.wav,Rundkast,her har det vordende brudepar forsøkt å lage det som skulle være en relativt diskret seremoni ,Rundkast_N2_050226_NRK_UKS_NO_578
125,07312017_096.wav,../../datasets/NordTrans_TUL/train_small/NRK/07312017_096.wav,NRK,fergeskipperen følger nøye med ,NRK_07312017_096
126,N2_060415_NRK_VPL_NO_3.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_060415_NRK_VPL_NO_3.wav,Rundkast,kritisk kåre _willock ber regjeringa ikkje snøre igjen pengesekken til hamas,Rundkast_N2_060415_NRK_VPL_NO_3
127,07182017_047.wav,../../datasets/NordTrans_TUL/train_small/NRK/07182017_047.wav,NRK,i østukraina har en gruppe russiskstøttede opprørere erklært at de vil opprette en egen stat den vil de kalle malorossija navnet som stammer fra tsartiden og betyr lille russland,NRK_07182017_047
128,20180321-3_107.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180321-3_107.wav,Stortinget,vi har i norge ikke transmisjonsrør i direktivets forstand ,Stortinget_20180321-3_107
129,N2_050201_NRK_D17_NO_76.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050201_NRK_D17_NO_76.wav,Rundkast, nå bruker bondevik den samme strategien og vi,Rundkast_N2_050201_NRK_D17_NO_76
130,20180131b-7_011.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131b-7_011.wav,Stortinget,en av de kanskje viktigste reformene venstre har jobbet systematisk med over flere år er behovet for endringer i ruspolitikken,Stortinget_20180131b-7_011
131,N2_051113_NRK_SDA_NO_882.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_051113_NRK_SDA_NO_882.wav,Rundkast,jeg tror at trygghet er en veldig god forutsetning for også skape gode tjenester ,Rundkast_N2_051113_NRK_SDA_NO_882
132,25012018_024.wav,../../datasets/NordTrans_TUL/train_small/NRK/25012018_024.wav,NRK,usas president ble møtt med enorm oppmerksomhet i kongressen,NRK_25012018_024
133,100917_007.wav,../../datasets/NordTrans_TUL/train_small/NRK/100917_007.wav,NRK,for å dokumentere dette ,NRK_100917_007
134,20180131a-11_027.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180131a-11_027.wav,Stortinget,og særlig stort er dette problemet ,Stortinget_20180131a-11_027
135,20180508-8_003.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180508-8_003.wav,Stortinget,de blir brukt kjemiske våpen,Stortinget_20180508-8_003
136,09152017_123.wav,../../datasets/NordTrans_TUL/train_small/NRK/09152017_123.wav,NRK,og tidl president i norges rytterforbund ,NRK_09152017_123
137,20180509-5_044.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180509-5_044.wav,Stortinget,spesielt i nord i minst mulig grad ,Stortinget_20180509-5_044
138,N2_050309_NRK_D17_NO_226.wav,../../datasets/NordTrans_TUL/train_small/Rundkast/N2_050309_NRK_D17_NO_226.wav,Rundkast, jeg skrev i min rapport,Rundkast_N2_050309_NRK_D17_NO_226
139,20180424-1_060.wav,../../datasets/NordTrans_TUL/train_small/Stortinget/20180424-1_060.wav,Stortinget,jeg mener at den viktigaste jobben vår,Stortinget_20180424-1_060
140,08042018_084.wav,../../datasets/NordTrans_TUL/train_small/NRK/08042018_084.wav,NRK,skjøt seg selv etter angrepet ,NRK_08042018_084
